Ngày,Thứ,Chủ đề,Buổi,Thời gian,Hoạt động,Ghi chú
22/04/2025,Thứ 3,CHUẨN BỊ,Cả ngày,,"Chuẩn bị giấy tờ (CCCD, vé máy bay, xác nhận đặt xe, thông tin chỗ ở)",
22/04/2025,Thứ 3,CHUẨN BỊ,Cả ngày,,"Chuẩn bị đồ cá nhân (quần áo, đồ bơi, dép, nón, kính mát, áo chống nắng)",
22/04/2025,Thứ 3,CHUẨN BỊ,Cả ngày,,"Chuẩn bị skincare (kem chống nắng SPF50+, sữa rửa mặt, dưỡng ẩm)",
22/04/2025,Thứ 3,CHUẨN BỊ,Cả ngày,,"Chuẩn bị đồ công nghệ (sạc, pin dự phòng, tai nghe, laptop x3)",
22/04/2025,Thứ 3,CHUẨN BỊ,Tối,Trước 22:00,"Pack đồ xong, check-in online vé máy bay, xác nhận đặt xe ra sân bay",
22/04/2025,Thứ 3,CHUẨN BỊ,Tối,Trước 23:00,Nghỉ ngơi — set ít nhất 2 báo thức,
23/04/2025,Thứ 4,TRAVEL DAY,Sáng,06:00,Xuất phát từ nhà → sân bay Nội Bài,
23/04/2025,Thứ 4,TRAVEL DAY,Sáng,09:10 – 11:20,Bay đến sân bay Cam Ranh,
23/04/2025,Thứ 4,TRAVEL DAY,Sáng,11:20 – 12:00,Lấy hành lý + ra ngoài,
23/04/2025,Thứ 4,TRAVEL DAY,Trưa,12:00 – 13:00,Ăn trưa gần sân bay (Cam Ranh / Cam Lâm),"Ưu tiên món nhẹ: cơm, bún, phở"
23/04/2025,Thứ 4,TRAVEL DAY,Chiều,~13:00 – 17:00,Đi xe khách / limousine về Phan Thiết,Điểm xuống: Ngã 3 Rạng (Mũi Né)
23/04/2025,Thứ 4,TRAVEL DAY,Tối,17:00 – 18:00,Nhận phòng / đến chỗ mẹ,
23/04/2025,Thứ 4,TRAVEL DAY,Tối,18:00 – 20:00,Ăn tối cùng gia đình — thư giãn nhẹ,
24/04/2025,Thứ 5,PICKLEBALL SUPPORT,Sáng,07:30 – 08:30,"Thức dậy, ăn sáng",
24/04/2025,Thứ 5,PICKLEBALL SUPPORT,Sáng,08:30 – 11:30,"Ra sân pickleball hỗ trợ mẹ (chuẩn bị sân, hỗ trợ khách, sắp xếp dụng cụ)",
24/04/2025,Thứ 5,PICKLEBALL SUPPORT,Trưa,11:30 – 13:30,"Ăn trưa, nghỉ ngơi",
24/04/2025,Thứ 5,PICKLEBALL SUPPORT,Chiều,13:30 – 17:30,Tiếp tục hỗ trợ tại sân pickleball,
24/04/2025,Thứ 5,PICKLEBALL SUPPORT,Tối,18:00 – 20:00,Ăn tối,
24/04/2025,Thứ 5,PICKLEBALL SUPPORT,Tối,20:00 – 22:00,Đi dạo / cafe nhẹ / nghỉ ngơi,
25/04/2025,Thứ 6,PICKLEBALL SUPPORT,Sáng,07:30 – 08:30,"Thức dậy, ăn sáng",
25/04/2025,Thứ 6,PICKLEBALL SUPPORT,Sáng,08:30 – 11:30,Ra sân pickleball hỗ trợ mẹ,
25/04/2025,Thứ 6,PICKLEBALL SUPPORT,Trưa,11:30 – 13:30,"Ăn trưa, nghỉ ngơi",
25/04/2025,Thứ 6,PICKLEBALL SUPPORT,Chiều,13:30 – 17:30,Tiếp tục hỗ trợ tại sân pickleball,
25/04/2025,Thứ 6,PICKLEBALL SUPPORT,Tối,18:00 – 20:00,Ăn tối,
25/04/2025,Thứ 6,PICKLEBALL SUPPORT,Tối,20:00 – 22:00,Đi dạo / cafe nhẹ / nghỉ ngơi,
26/04/2025,Thứ 7,PICKLEBALL SUPPORT,Sáng,07:30 – 08:30,"Thức dậy, ăn sáng",
26/04/2025,Thứ 7,PICKLEBALL SUPPORT,Sáng,08:30 – 11:30,Ra sân pickleball hỗ trợ mẹ,
26/04/2025,Thứ 7,PICKLEBALL SUPPORT,Trưa,11:30 – 13:30,"Ăn trưa, nghỉ ngơi",
26/04/2025,Thứ 7,PICKLEBALL SUPPORT,Chiều,13:30 – 17:30,Tiếp tục hỗ trợ tại sân pickleball,
26/04/2025,Thứ 7,PICKLEBALL SUPPORT,Tối,18:00 – 20:00,Ăn tối,
26/04/2025,Thứ 7,PICKLEBALL SUPPORT,Tối,20:00 – 22:00,Đi dạo / cafe nhẹ / nghỉ ngơi,
27/04/2025,Chủ nhật,CAFE + CHILL,Sáng,,"Ngủ thoải mái, hồi phục sau các ngày trước",
27/04/2025,Chủ nhật,CAFE + CHILL,Sáng,,Ăn sáng nhẹ,
27/04/2025,Chủ nhật,CAFE + CHILL,Trưa,,"Ăn trưa gần khu ở, nghỉ ngơi",
27/04/2025,Chủ nhật,CAFE + CHILL,Chiều,16:30 – 18:30,"Đi cafe Bồng Bềnh — chụp ảnh, ngắm hoàng hôn",Nên đến sớm — dịp lễ đông
27/04/2025,Chủ nhật,CAFE + CHILL,Tối,18:30 – 20:30,Ăn tối,
27/04/2025,Chủ nhật,CAFE + CHILL,Tối,20:30 – 22:00,Đi dạo / nghỉ ngơi,
28/04/2025,Thứ 2,SAND DUNES TOUR,Sáng sớm,04:30 – 05:00,"[Option 1 - Sunrise] Dậy, chuẩn bị","Áo chống nắng, kính mát, nước, dép, kem chống nắng"
28/04/2025,Thứ 2,SAND DUNES TOUR,Sáng sớm,05:00 – 09:00,[Option 1 - Sunrise] Jeep tour cồn cát (đồi cát trắng → Hồ Bàu Trắng → Làng chài),RECOMMENDED
28/04/2025,Thứ 2,SAND DUNES TOUR,Trưa,09:30 – 12:00,"[Option 1] Về lại chỗ ở, ăn sáng muộn / ăn trưa, nghỉ ngơi",
28/04/2025,Thứ 2,SAND DUNES TOUR,Chiều,,[Option 1] Nghỉ ngơi / đi biển nhẹ,
28/04/2025,Thứ 2,SAND DUNES TOUR,Tối,,"[Option 1] Ăn tối nhẹ, nghỉ ngơi sớm",
28/04/2025,Thứ 2,SAND DUNES TOUR,Trưa,,"[Option 2 - Sunset] Nghỉ ngơi, ăn trưa",
28/04/2025,Thứ 2,SAND DUNES TOUR,Chiều,13:30 – 18:00,"[Option 2 - Sunset] Jeep tour cồn cát, ngắm sunset",
28/04/2025,Thứ 2,SAND DUNES TOUR,Tối,,"[Option 2] Ăn tối, nghỉ ngơi",
29/04/2025,Thứ 3,RECOVERY + LIGHT,Sáng,08:00 – 10:00,"Đi Suối Tiên — đi bộ nhẹ, thư giãn",
29/04/2025,Thứ 3,RECOVERY + LIGHT,Trưa,11:00 – 13:30,"Ăn trưa, nghỉ ngơi",
29/04/2025,Thứ 3,RECOVERY + LIGHT,Chiều,,Nghỉ ngơi / ra biển gần nhà,
29/04/2025,Thứ 3,RECOVERY + LIGHT,Tối,,"Ăn tối nhẹ, đi dạo / cafe nhẹ",
30/04/2025,Thứ 4,LOCAL CHILL + KHÁM PHÁ,Sáng,07:30 – 09:30,"Đi Làng chài Mũi Né — xem thuyền thúng, hải sản, chụp ảnh buổi sáng",Dịp lễ đông — nên đi sớm
30/04/2025,Thứ 4,LOCAL CHILL + KHÁM PHÁ,Trưa,11:00 – 13:30,"Ăn trưa (hải sản gần làng chài), nghỉ ngơi",
30/04/2025,Thứ 4,LOCAL CHILL + KHÁM PHÁ,Chiều,14:30 – 16:00,"Mua quà lưu niệm (nước mắm Phan Thiết, hải sản khô, bánh đặc sản)",
30/04/2025,Thứ 4,LOCAL CHILL + KHÁM PHÁ,Chiều,16:00 – 18:00,"Đi cafe view đẹp (Bồng Bềnh hoặc quán khác) — ngắm hoàng hôn, chụp ảnh",
30/04/2025,Thứ 4,LOCAL CHILL + KHÁM PHÁ,Tối,18:30 – 20:30,Ăn tối,
30/04/2025,Thứ 4,LOCAL CHILL + KHÁM PHÁ,Tối,20:30 – 22:00,Đi dạo biển / nghỉ ngơi,
01/05/2025,Thứ 5,SUPPORT + PACKING,Sáng,07:30 – 08:30,"Thức dậy, ăn sáng",
01/05/2025,Thứ 5,SUPPORT + PACKING,Sáng,08:30 – 11:30,Check-in online vé máy bay — ra sân pickleball hỗ trợ mẹ,
01/05/2025,Thứ 5,SUPPORT + PACKING,Trưa,11:30 – 13:30,"Ăn trưa, nghỉ ngơi",
01/05/2025,Thứ 5,SUPPORT + PACKING,Chiều,13:30 – 17:00,Tiếp tục hỗ trợ (nếu cần) / nghỉ ngơi,
01/05/2025,Thứ 5,SUPPORT + PACKING,Tối,17:30 – 19:00,Ăn tối nhẹ,
01/05/2025,Thứ 5,SUPPORT + PACKING,Tối,19:00 – 21:00,"Sắp xếp hành lý — kiểm tra vé, CCCD, quà, hải sản khô, laptop x3",QUAN TRỌNG
01/05/2025,Thứ 5,SUPPORT + PACKING,Tối,21:00 – 22:00,Nghỉ ngơi sớm,
02/05/2025,Thứ 6,NGÀY VỀ,Sáng sớm,04:30 – 05:00,"Thức dậy, vệ sinh cá nhân",
02/05/2025,Thứ 6,NGÀY VỀ,Sáng sớm,05:00 – 05:30,Check lại hành lý lần cuối,
02/05/2025,Thứ 6,NGÀY VỀ,Sáng sớm,05:30 – 06:00,Xuất phát đi sân bay (đã đặt xe trước),
02/05/2025,Thứ 6,NGÀY VỀ,Sáng,06:00 – 07:30,Di chuyển Phan Thiết → sân bay Cam Ranh (~70km),Cần đặt xe trước
02/05/2025,Thứ 6,NGÀY VỀ,Sáng,07:30 – 08:30,"Check-in, gửi hành lý, chuẩn bị lên máy bay",Hải sản khô cần đóng gói kỹ
02/05/2025,Thứ 6,NGÀY VỀ,Sáng,08:30,BAY VỀ từ sân bay Cam Ranh,